Country,Description
Kenya 6,"A country in East Africa with coastline on the Indian Ocean, famous for the Maasai Mara."
India 6,A South Asian nation with diverse terrain – from Himalayan peaks to Indian Ocean coastline.
Australia 6,"A country and continent surrounded by the Indian and Pacific oceans, known for its outback."
China 6,"A populous nation in East Asia whose vast landscape encompasses grassland, desert, and mountains."
Antarctica 6,"Earth's southernmost continent, containing the geographic South Pole and mostly ice."
Canada 6,"The second-largest country by land area, known for its vast wilderness and cold climate."
Brazil 6,"South America’s largest country, home to much of the Amazon River basin and rainforest."
South Africa 6,"A country on the southernmost tip of the African continent, with diverse ecosystems."
USA 6,"A country of 50 states covering a vast swath of North America, from the Atlantic to the Pacific."
Thailand 6,"A Southeast Asian country known for tropical beaches, opulent royal palaces, and ancient ruins."
Norway 6,"A Scandinavian country encompassing mountains, glaciers and deep coastal fjords."
Japan 6,"An island nation in the Pacific Ocean with dense cities, imperial palaces, and mountainous parks."
Mexico 6,"A country between the U.S. and Central America, known for its Pacific and Gulf of Mexico beaches."
Egypt 6,"A country linking northeast Africa with the Middle East, home to the Great Pyramids."
France 6,"A Western European country with medieval cities, alpine villages and Mediterranean beaches."
Germany 6,"A Western European country with a landscape of forests, rivers, mountain ranges and North Sea beaches."
Italy 6,"A Mediterranean country with a vast coastline, has left a powerful mark on Western culture."
Spain 6,"A country on Europe’s Iberian Peninsula, includes 17 autonomous regions with diverse geography."
United Kingdom 6,"An island nation in northwestern Europe made up of England, Scotland, Wales and Northern Ireland."
Russia 6,"The world's largest nation by land area, spanning Eastern Europe and Northern Asia."
Argentina 6,A massive South American nation with terrain encompassing Andes mountains and Pampas grassland.
Chile 6,"A long, narrow country stretching along South America's western edge, with over 6,000km of coastline."
Peru 6,A country in South America that's home to a section of Amazon rainforest and Machu Picchu.
Colombia 6,"A country at the northern tip of South America, with landscape of rainforests and Andes mountains."
Nigeria 6,"An African country on the Gulf of Guinea, has many natural landmarks and wildlife reserves."
Ethiopia 6,"A landlocked country on the Horn of Africa, split by the Great Rift Valley."
Morocco 6,A North African country bordering the Atlantic Ocean and Mediterranean Sea.
Tanzania 6,"An East African country known for its vast wilderness areas, including the Serengeti."
Vietnam 6,A Southeast Asian country on the South China Sea known for its beaches and bustling cities.
Indonesia 6,"A country in Southeast Asia and Oceania, between the Indian and Pacific oceans."
South Korea 6,"An East Asian nation on the southern half of the Korean Peninsula, shares a border with North Korea."
Turkey 6,A nation straddling eastern Europe and western Asia with cultural connections to ancient empires.
Greece 6,A country in southeastern Europe with thousands of islands throughout the Aegean and Ionian seas.
Switzerland 6,"A mountainous Central European country, home to numerous lakes, villages and the high Alps."
Sweden 6,A Scandinavian nation with thousands of coastal islands and inland lakes.
New Zealand 6,"An island country in the southwestern Pacific Ocean, known for its volcanoes and glaciation."
Madagascar 6,"A huge island nation off the southeast coast of Africa, home to unique wildlife like lemurs."
Iceland 6,"A Nordic island nation, defined by its dramatic landscape with volcanoes, geysers and hot springs."
Greenland 6,"The world's largest island, located between the Arctic and Atlantic oceans."
Costa Rica 6,"A rugged, rainforested Central American country with coastlines on the Caribbean and Pacific."
Panama 6,"A country on the isthmus linking Central and South America, home to the famous Panama Canal."
Ecuador 6,"A country straddling the equator on South America’s west coast, with diverse landscapes."
Bolivia 6,"A country in central South America, with a varied terrain spanning Andes Mountains and Atacama Desert."
Paraguay 6,"A landlocked country between Argentina, Brazil and Bolivia, with large swaths of swampland."
Uruguay 6,A South American country known for its verdant interior and beach-lined coast.
Fiji 6,"An archipelago of more than 300 islands in the South Pacific, known for rugged landscapes."
Papua New Guinea 6,A country in Oceania that occupies the eastern half of the island of New Guinea.
Mongolia 6,"A nation bordered by China and Russia, known for vast, rugged expanses and nomadic culture."
Kazakhstan 6,"A Central Asian country and former Soviet republic, extends from the Caspian Sea to the Altai Mountains."
Nepal 6,"A country in South Asia between China and India, home to eight of the world's ten tallest peaks."
Kenya 7,"A country in East Africa with coastline on the Indian Ocean, famous for the Maasai Mara."
India 7,A South Asian nation with diverse terrain – from Himalayan peaks to Indian Ocean coastline.
Australia 7,"A country and continent surrounded by the Indian and Pacific oceans, known for its outback."
China 7,"A populous nation in East Asia whose vast landscape encompasses grassland, desert, and mountains."
Antarctica 7,"Earth's southernmost continent, containing the geographic South Pole and mostly ice."
Canada 7,"The second-largest country by land area, known for its vast wilderness and cold climate."
Brazil 7,"South America’s largest country, home to much of the Amazon River basin and rainforest."
South Africa 7,"A country on the southernmost tip of the African continent, with diverse ecosystems."
USA 7,"A country of 50 states covering a vast swath of North America, from the Atlantic to the Pacific."
Thailand 7,"A Southeast Asian country known for tropical beaches, opulent royal palaces, and ancient ruins."
Norway 7,"A Scandinavian country encompassing mountains, glaciers and deep coastal fjords."
Japan 7,"An island nation in the Pacific Ocean with dense cities, imperial palaces, and mountainous parks."
Mexico 7,"A country between the U.S. and Central America, known for its Pacific and Gulf of Mexico beaches."
Egypt 7,"A country linking northeast Africa with the Middle East, home to the Great Pyramids."
France 7,"A Western European country with medieval cities, alpine villages and Mediterranean beaches."
Germany 7,"A Western European country with a landscape of forests, rivers, mountain ranges and North Sea beaches."
Italy 7,"A Mediterranean country with a vast coastline, has left a powerful mark on Western culture."
Spain 7,"A country on Europe’s Iberian Peninsula, includes 17 autonomous regions with diverse geography."
United Kingdom 7,"An island nation in northwestern Europe made up of England, Scotland, Wales and Northern Ireland."
Russia 7,"The world's largest nation by land area, spanning Eastern Europe and Northern Asia."
Argentina 7,A massive South American nation with terrain encompassing Andes mountains and Pampas grassland.
Chile 7,"A long, narrow country stretching along South America's western edge, with over 6,000km of coastline."
Peru 7,A country in South America that's home to a section of Amazon rainforest and Machu Picchu.
Colombia 7,"A country at the northern tip of South America, with landscape of rainforests and Andes mountains."
Nigeria 7,"An African country on the Gulf of Guinea, has many natural landmarks and wildlife reserves."
Ethiopia 7,"A landlocked country on the Horn of Africa, split by the Great Rift Valley."
Morocco 7,A North African country bordering the Atlantic Ocean and Mediterranean Sea.
Tanzania 7,"An East African country known for its vast wilderness areas, including the Serengeti."
Vietnam 7,A Southeast Asian country on the South China Sea known for its beaches and bustling cities.
Indonesia 7,"A country in Southeast Asia and Oceania, between the Indian and Pacific oceans."
South Korea 7,"An East Asian nation on the southern half of the Korean Peninsula, shares a border with North Korea."
Turkey 7,A nation straddling eastern Europe and western Asia with cultural connections to ancient empires.
Greece 7,A country in southeastern Europe with thousands of islands throughout the Aegean and Ionian seas.
Switzerland 7,"A mountainous Central European country, home to numerous lakes, villages and the high Alps."
Sweden 7,A Scandinavian nation with thousands of coastal islands and inland lakes.
New Zealand 7,"An island country in the southwestern Pacific Ocean, known for its volcanoes and glaciation."
Madagascar 7,"A huge island nation off the southeast coast of Africa, home to unique wildlife like lemurs."
Iceland 7,"A Nordic island nation, defined by its dramatic landscape with volcanoes, geysers and hot springs."
Greenland 7,"The world's largest island, located between the Arctic and Atlantic oceans."
Costa Rica 7,"A rugged, rainforested Central American country with coastlines on the Caribbean and Pacific."
Panama 7,"A country on the isthmus linking Central and South America, home to the famous Panama Canal."
Ecuador 7,"A country straddling the equator on South America’s west coast, with diverse landscapes."
Bolivia 7,"A country in central South America, with a varied terrain spanning Andes Mountains and Atacama Desert."
Paraguay 7,"A landlocked country between Argentina, Brazil and Bolivia, with large swaths of swampland."
Uruguay 7,A South American country known for its verdant interior and beach-lined coast.
Fiji 7,"An archipelago of more than 300 islands in the South Pacific, known for rugged landscapes."
Papua New Guinea 7,A country in Oceania that occupies the eastern half of the island of New Guinea.
Mongolia 7,"A nation bordered by China and Russia, known for vast, rugged expanses and nomadic culture."
Kazakhstan 7,"A Central Asian country and former Soviet republic, extends from the Caspian Sea to the Altai Mountains."
Nepal 7,"A country in South Asia between China and India, home to eight of the world's ten tallest peaks."
Kenya 8,"A country in East Africa with coastline on the Indian Ocean, famous for the Maasai Mara."
India 8,A South Asian nation with diverse terrain – from Himalayan peaks to Indian Ocean coastline.
Australia 8,"A country and continent surrounded by the Indian and Pacific oceans, known for its outback."
China 8,"A populous nation in East Asia whose vast landscape encompasses grassland, desert, and mountains."
Antarctica 8,"Earth's southernmost continent, containing the geographic South Pole and mostly ice."
Canada 8,"The second-largest country by land area, known for its vast wilderness and cold climate."
Brazil 8,"South America’s largest country, home to much of the Amazon River basin and rainforest."
South Africa 8,"A country on the southernmost tip of the African continent, with diverse ecosystems."
USA 8,"A country of 50 states covering a vast swath of North America, from the Atlantic to the Pacific."
Thailand 8,"A Southeast Asian country known for tropical beaches, opulent royal palaces, and ancient ruins."
Norway 8,"A Scandinavian country encompassing mountains, glaciers and deep coastal fjords."
Japan 8,"An island nation in the Pacific Ocean with dense cities, imperial palaces, and mountainous parks."
Mexico 8,"A country between the U.S. and Central America, known for its Pacific and Gulf of Mexico beaches."
Egypt 8,"A country linking northeast Africa with the Middle East, home to the Great Pyramids."
France 8,"A Western European country with medieval cities, alpine villages and Mediterranean beaches."
Germany 8,"A Western European country with a landscape of forests, rivers, mountain ranges and North Sea beaches."
Italy 8,"A Mediterranean country with a vast coastline, has left a powerful mark on Western culture."
Spain 8,"A country on Europe’s Iberian Peninsula, includes 17 autonomous regions with diverse geography."
United Kingdom 8,"An island nation in northwestern Europe made up of England, Scotland, Wales and Northern Ireland."
Russia 8,"The world's largest nation by land area, spanning Eastern Europe and Northern Asia."
Argentina 8,A massive South American nation with terrain encompassing Andes mountains and Pampas grassland.
Chile 8,"A long, narrow country stretching along South America's western edge, with over 6,000km of coastline."
Peru 8,A country in South America that's home to a section of Amazon rainforest and Machu Picchu.
Colombia 8,"A country at the northern tip of South America, with landscape of rainforests and Andes mountains."
Nigeria 8,"An African country on the Gulf of Guinea, has many natural landmarks and wildlife reserves."
Ethiopia 8,"A landlocked country on the Horn of Africa, split by the Great Rift Valley."
Morocco 8,A North African country bordering the Atlantic Ocean and Mediterranean Sea.
Tanzania 8,"An East African country known for its vast wilderness areas, including the Serengeti."
Vietnam 8,A Southeast Asian country on the South China Sea known for its beaches and bustling cities.
Indonesia 8,"A country in Southeast Asia and Oceania, between the Indian and Pacific oceans."
South Korea 8,"An East Asian nation on the southern half of the Korean Peninsula, shares a border with North Korea."
Turkey 8,A nation straddling eastern Europe and western Asia with cultural connections to ancient empires.
Greece 8,A country in southeastern Europe with thousands of islands throughout the Aegean and Ionian seas.
Switzerland 8,"A mountainous Central European country, home to numerous lakes, villages and the high Alps."
Sweden 8,A Scandinavian nation with thousands of coastal islands and inland lakes.
New Zealand 8,"An island country in the southwestern Pacific Ocean, known for its volcanoes and glaciation."
Madagascar 8,"A huge island nation off the southeast coast of Africa, home to unique wildlife like lemurs."
Iceland 8,"A Nordic island nation, defined by its dramatic landscape with volcanoes, geysers and hot springs."
Greenland 8,"The world's largest island, located between the Arctic and Atlantic oceans."
Costa Rica 8,"A rugged, rainforested Central American country with coastlines on the Caribbean and Pacific."
Panama 8,"A country on the isthmus linking Central and South America, home to the famous Panama Canal."
Ecuador 8,"A country straddling the equator on South America’s west coast, with diverse landscapes."
Bolivia 8,"A country in central South America, with a varied terrain spanning Andes Mountains and Atacama Desert."
Paraguay 8,"A landlocked country between Argentina, Brazil and Bolivia, with large swaths of swampland."
Uruguay 8,A South American country known for its verdant interior and beach-lined coast.
Fiji 8,"An archipelago of more than 300 islands in the South Pacific, known for rugged landscapes."
Papua New Guinea 8,A country in Oceania that occupies the eastern half of the island of New Guinea.
Mongolia 8,"A nation bordered by China and Russia, known for vast, rugged expanses and nomadic culture."
Kazakhstan 8,"A Central Asian country and former Soviet republic, extends from the Caspian Sea to the Altai Mountains."
Nepal 8,"A country in South Asia between China and India, home to eight of the world's ten tallest peaks."
Kenya 9,"A country in East Africa with coastline on the Indian Ocean, famous for the Maasai Mara."
India 9,A South Asian nation with diverse terrain – from Himalayan peaks to Indian Ocean coastline.
Australia 9,"A country and continent surrounded by the Indian and Pacific oceans, known for its outback."
China 9,"A populous nation in East Asia whose vast landscape encompasses grassland, desert, and mountains."
Antarctica 9,"Earth's southernmost continent, containing the geographic South Pole and mostly ice."
Canada 9,"The second-largest country by land area, known for its vast wilderness and cold climate."
Brazil 9,"South America’s largest country, home to much of the Amazon River basin and rainforest."
South Africa 9,"A country on the southernmost tip of the African continent, with diverse ecosystems."
USA 9,"A country of 50 states covering a vast swath of North America, from the Atlantic to the Pacific."
Thailand 9,"A Southeast Asian country known for tropical beaches, opulent royal palaces, and ancient ruins."
Norway 9,"A Scandinavian country encompassing mountains, glaciers and deep coastal fjords."
Japan 9,"An island nation in the Pacific Ocean with dense cities, imperial palaces, and mountainous parks."
Mexico 9,"A country between the U.S. and Central America, known for its Pacific and Gulf of Mexico beaches."
Egypt 9,"A country linking northeast Africa with the Middle East, home to the Great Pyramids."
France 9,"A Western European country with medieval cities, alpine villages and Mediterranean beaches."
Germany 9,"A Western European country with a landscape of forests, rivers, mountain ranges and North Sea beaches."
Italy 9,"A Mediterranean country with a vast coastline, has left a powerful mark on Western culture."
Spain 9,"A country on Europe’s Iberian Peninsula, includes 17 autonomous regions with diverse geography."
United Kingdom 9,"An island nation in northwestern Europe made up of England, Scotland, Wales and Northern Ireland."
Russia 9,"The world's largest nation by land area, spanning Eastern Europe and Northern Asia."
Argentina 9,A massive South American nation with terrain encompassing Andes mountains and Pampas grassland.
Chile 9,"A long, narrow country stretching along South America's western edge, with over 6,000km of coastline."
Peru 9,A country in South America that's home to a section of Amazon rainforest and Machu Picchu.
Colombia 9,"A country at the northern tip of South America, with landscape of rainforests and Andes mountains."
Nigeria 9,"An African country on the Gulf of Guinea, has many natural landmarks and wildlife reserves."
Ethiopia 9,"A landlocked country on the Horn of Africa, split by the Great Rift Valley."
Morocco 9,A North African country bordering the Atlantic Ocean and Mediterranean Sea.
Tanzania 9,"An East African country known for its vast wilderness areas, including the Serengeti."
Vietnam 9,A Southeast Asian country on the South China Sea known for its beaches and bustling cities.
Indonesia 9,"A country in Southeast Asia and Oceania, between the Indian and Pacific oceans."
South Korea 9,"An East Asian nation on the southern half of the Korean Peninsula, shares a border with North Korea."
Turkey 9,A nation straddling eastern Europe and western Asia with cultural connections to ancient empires.
Greece 9,A country in southeastern Europe with thousands of islands throughout the Aegean and Ionian seas.
Switzerland 9,"A mountainous Central European country, home to numerous lakes, villages and the high Alps."
Sweden 9,A Scandinavian nation with thousands of coastal islands and inland lakes.
New Zealand 9,"An island country in the southwestern Pacific Ocean, known for its volcanoes and glaciation."
Madagascar 9,"A huge island nation off the southeast coast of Africa, home to unique wildlife like lemurs."
Iceland 9,"A Nordic island nation, defined by its dramatic landscape with volcanoes, geysers and hot springs."
Greenland 9,"The world's largest island, located between the Arctic and Atlantic oceans."
Costa Rica 9,"A rugged, rainforested Central American country with coastlines on the Caribbean and Pacific."
Panama 9,"A country on the isthmus linking Central and South America, home to the famous Panama Canal."
Ecuador 9,"A country straddling the equator on South America’s west coast, with diverse landscapes."
Bolivia 9,"A country in central South America, with a varied terrain spanning Andes Mountains and Atacama Desert."
Paraguay 9,"A landlocked country between Argentina, Brazil and Bolivia, with large swaths of swampland."
Uruguay 9,A South American country known for its verdant interior and beach-lined coast.
Fiji 9,"An archipelago of more than 300 islands in the South Pacific, known for rugged landscapes."
Papua New Guinea 9,A country in Oceania that occupies the eastern half of the island of New Guinea.
Mongolia 9,"A nation bordered by China and Russia, known for vast, rugged expanses and nomadic culture."
Kazakhstan 9,"A Central Asian country and former Soviet republic, extends from the Caspian Sea to the Altai Mountains."
Nepal 9,"A country in South Asia between China and India, home to eight of the world's ten tallest peaks."
Kenya 10,"A country in East Africa with coastline on the Indian Ocean, famous for the Maasai Mara."
India 10,A South Asian nation with diverse terrain – from Himalayan peaks to Indian Ocean coastline.
Australia 10,"A country and continent surrounded by the Indian and Pacific oceans, known for its outback."
China 10,"A populous nation in East Asia whose vast landscape encompasses grassland, desert, and mountains."
Antarctica 10,"Earth's southernmost continent, containing the geographic South Pole and mostly ice."
Canada 10,"The second-largest country by land area, known for its vast wilderness and cold climate."
Brazil 10,"South America’s largest country, home to much of the Amazon River basin and rainforest."
South Africa 10,"A country on the southernmost tip of the African continent, with diverse ecosystems."
USA 10,"A country of 50 states covering a vast swath of North America, from the Atlantic to the Pacific."
Thailand 10,"A Southeast Asian country known for tropical beaches, opulent royal palaces, and ancient ruins."
Norway 10,"A Scandinavian country encompassing mountains, glaciers and deep coastal fjords."
Japan 10,"An island nation in the Pacific Ocean with dense cities, imperial palaces, and mountainous parks."
Mexico 10,"A country between the U.S. and Central America, known for its Pacific and Gulf of Mexico beaches."
Egypt 10,"A country linking northeast Africa with the Middle East, home to the Great Pyramids."
France 10,"A Western European country with medieval cities, alpine villages and Mediterranean beaches."
Germany 10,"A Western European country with a landscape of forests, rivers, mountain ranges and North Sea beaches."
Italy 10,"A Mediterranean country with a vast coastline, has left a powerful mark on Western culture."
Spain 10,"A country on Europe’s Iberian Peninsula, includes 17 autonomous regions with diverse geography."
United Kingdom 10,"An island nation in northwestern Europe made up of England, Scotland, Wales and Northern Ireland."
Russia 10,"The world's largest nation by land area, spanning Eastern Europe and Northern Asia."
Argentina 10,A massive South American nation with terrain encompassing Andes mountains and Pampas grassland.
Chile 10,"A long, narrow country stretching along South America's western edge, with over 6,000km of coastline."
Peru 10,A country in South America that's home to a section of Amazon rainforest and Machu Picchu.
Colombia 10,"A country at the northern tip of South America, with landscape of rainforests and Andes mountains."
Nigeria 10,"An African country on the Gulf of Guinea, has many natural landmarks and wildlife reserves."
Ethiopia 10,"A landlocked country on the Horn of Africa, split by the Great Rift Valley."
Morocco 10,A North African country bordering the Atlantic Ocean and Mediterranean Sea.
Tanzania 10,"An East African country known for its vast wilderness areas, including the Serengeti."
Vietnam 10,A Southeast Asian country on the South China Sea known for its beaches and bustling cities.
Indonesia 10,"A country in Southeast Asia and Oceania, between the Indian and Pacific oceans."
South Korea 10,"An East Asian nation on the southern half of the Korean Peninsula, shares a border with North Korea."
Turkey 10,A nation straddling eastern Europe and western Asia with cultural connections to ancient empires.
Greece 10,A country in southeastern Europe with thousands of islands throughout the Aegean and Ionian seas.
Switzerland 10,"A mountainous Central European country, home to numerous lakes, villages and the high Alps."
Sweden 10,A Scandinavian nation with thousands of coastal islands and inland lakes.
New Zealand 10,"An island country in the southwestern Pacific Ocean, known for its volcanoes and glaciation."
Madagascar 10,"A huge island nation off the southeast coast of Africa, home to unique wildlife like lemurs."
Iceland 10,"A Nordic island nation, defined by its dramatic landscape with volcanoes, geysers and hot springs."
Greenland 10,"The world's largest island, located between the Arctic and Atlantic oceans."
Costa Rica 10,"A rugged, rainforested Central American country with coastlines on the Caribbean and Pacific."
Panama 10,"A country on the isthmus linking Central and South America, home to the famous Panama Canal."
Ecuador 10,"A country straddling the equator on South America’s west coast, with diverse landscapes."
Bolivia 10,"A country in central South America, with a varied terrain spanning Andes Mountains and Atacama Desert."
Paraguay 10,"A landlocked country between Argentina, Brazil and Bolivia, with large swaths of swampland."
Uruguay 10,A South American country known for its verdant interior and beach-lined coast.
Fiji 10,"An archipelago of more than 300 islands in the South Pacific, known for rugged landscapes."
Papua New Guinea 10,A country in Oceania that occupies the eastern half of the island of New Guinea.
Mongolia 10,"A nation bordered by China and Russia, known for vast, rugged expanses and nomadic culture."
Kazakhstan 10,"A Central Asian country and former Soviet republic, extends from the Caspian Sea to the Altai Mountains."
Nepal 10,"A country in South Asia between China and India, home to eight of the world's ten tallest peaks."
